ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
362,3,3,4,4,4,N/A,4,3,N/A,4,5,4,N/A,4,4,4,N/A,4,N/A,N/A
371,4,N/A,5,N/A,5,5,3,5,N/A,N/A,4,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
372,5,5,5,2,3,5,5,2,3,N/A,4,5,5,5,4,4,5,1,N/A,N/A
373,5,N/A,5,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A
376,5,4,5,5,3,N/A,5,4,N/A,N/A,4,2,N/A,N/A,3,5,N/A,N/A,N/A,N/A
377,1,1,1,4,5,5,5,2,2,2,3,3,5,5,5,4,4,4,4,4
378,N/A,N/A,5,4,5,N/A,5,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
379,5,4,5,5,3,N/A,5,4,N/A,N/A,4,2,N/A,N/A,3,5,N/A,N/A,N/A,N/A
380,4,N/A,N/A,N/A,5,N/A,4,N/A,N/A,N/A,4,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A
386,N/A,N/A,4,4,5,N/A,5,4,N/A,5,4,N/A,N/A,N/A,4,4,N/A,N/A,N/A,3
397,3,4,4,4,5,3,5,5,2,3,5,N/A,2,N/A,3,3,4,N/A,3,N/A
398,N/A,4,5,N/A,N/A,N/A,3,3,N/A,N/A,3,5,N/A,N/A,4,N/A,N/A,4,N/A,N/A
399,4,3,5,N/A,5,N/A,4,4,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
401,N/A,5,5,N/A,4,N/A,5,4,N/A,N/A,N/A,5,N/A,N/A,4,4,N/A,N/A,N/A,N/A
402,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A
403,N/A,5,5,N/A,4,N/A,3,3,N/A,N/A,5,N/A,5,N/A,3,N/A,N/A,N/A,N/A,N/A
404,4,4,5,N/A,5,N/A,4,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
405,N/A,3,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
415,5,4,5,N/A,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,3,5,5
417,N/A,N/A,4,N/A,N/A,N/A,N/A,3,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
420,5,N/A,5,N/A,4,N/A,4,5,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A
425,3,3,4,4,4,4,4,4,N/A,4,N/A,3,4,4,4,3,3,3,3,3
428,5,4,5,N/A,5,N/A,5,4,N/A,N/A,N/A,5,N/A,N/A,2,4,N/A,N/A,N/A,N/A
435,3,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
436,N/A,5,4,N/A,5,N/A,4,N/A,N/A,N/A,3,N/A,N/A,3,2,3,N/A,N/A,N/A,N/A
437,3,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4
438,N/A,5,5,4,5,3,4,5,3,2,5,4,N/A,3,5,2,4,5,N/A,N/A
439,N/A,5,4,N/A,4,N/A,4,N/A,N/A,N/A,3,N/A,N/A,3,2,3,N/A,N/A,N/A,N/A
440,3,5,5,4,5,4,5,4,N/A,N/A,2,5,3,N/A,1,5,N/A,N/A,N/A,4
441,N/A,3,5,N/A,N/A,4,4,3,N/A,N/A,5,N/A,5,N/A,N/A,3,N/A,3,N/A,N/A
445,N/A,5,N/A,N/A,4,N/A,5,4,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
451,N/A,N/A,N/A,N/A,5,N/A,5,5,N/A,4,5,4,N/A,3,3,2,N/A,4,4,4
453,4,5,5,N/A,4,N/A,3,3,N/A,N/A,N/A,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A
456,4,3,4,3,3,3,N/A,3,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
459,N/A,N/A,5,N/A,3,N/A,4,3,N/A,N/A,3,4,N/A,N/A,2,5,N/A,N/A,N/A,N/A
460,4,N/A,4,4,5,4,5,5,N/A,N/A,4,N/A,4,5,5,N/A,N/A,N/A,N/A,N/A
461,4,4,5,2,4,N/A,5,4,N/A,N/A,4,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A
472,4,N/A,5,N/A,5,N/A,N/A,3,N/A,5,5,N/A,N/A,N/A,N/A,2,4,N/A,N/A,N/A
470,N/A,4,5,2,5,N/A,4,4,3,N/A,3,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
471,5,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,3,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A
476,5,4,3,2,5,N/A,3,5,N/A,N/A,3,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A
478,3,4,4,N/A,3,3,2,3,N/A,N/A,3,3,N/A,3,1,4,N/A,N/A,N/A,N/A
477,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
479,N/A,5,3,N/A,4,N/A,5,5,N/A,N/A,3,N/A,N/A,N/A,3,1,N/A,N/A,N/A,N/A
487,5,N/A,5,5,5,N/A,4,4,4,5,4,5,5,4,5,N/A,5,N/A,N/A,N/A
488,3,3,5,5,5,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5
491,1,2,3,4,5,N/A,5,4,3,2,1,2,3,4,5,N/A,5,4,3,2
492,4,5,3,N/A,2,N/A,N/A,5,N/A,N/A,3,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
497,N/A,5,N/A,N/A,3,N/A,N/A,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
498,N/A,N/A,N/A,N/A,5,N/A,N/A,2,N/A,N/A,4,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
508,N/A,N/A,5,N/A,5,5,5,5,N/A,N/A,4,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A
511,5,4,4,N/A,4,N/A,5,4,N/A,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
512,N/A,5,4,5,2,N/A,5,4,N/A,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
513,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
514,4,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A,2,N/A,2,N/A,N/A,N/A,N/A,N/A
515,3,5,4,N/A,5,N/A,5,5,N/A,N/A,4,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A
516,N/A,4,5,N/A,5,N/A,3,5,N/A,N/A,5,N/A,N/A,3,5,5,N/A,N/A,4,N/A
520,N/A,5,5,N/A,5,N/A,5,5,N/A,N/A,3,5,N/A,N/A,3,5,N/A,N/A,N/A,N/A
521,N/A,5,4,4,5,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,5,5,5,N/A,N/A,N/A
525,4,5,N/A,N/A,4,N/A,5,4,N/A,4,4,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
522,5,N/A,4,N/A,4,4,4,5,N/A,N/A,3,N/A,N/A,N/A,2,4,N/A,N/A,N/A,N/A
523,N/A,5,4,N/A,4,N/A,N/A,5,N/A,N/A,3,4,N/A,N/A,3,N/A,N/A,N/A,3,3
524,N/A,5,4,N/A,4,N/A,N/A,5,N/A,N/A,3,4,N/A,N/A,3,N/A,N/A,N/A,3,3
526,N/A,N/A,5,4,5,N/A,N/A,5,N/A,2,5,N/A,N/A,N/A,5,4,4,5,3,N/A
527,N/A,5,5,N/A,3,N/A,1,4,N/A,N/A,4,N/A,N/A,1,1,5,N/A,N/A,N/A,N/A
530,3,2,3,4,5,N/A,5,4,N/A,5,5,4,N/A,N/A,2,3,3,N/A,4,N/A
531,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
532,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
533,4,4,5,N/A,5,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
534,4,5,4,N/A,4,5,5,5,4,N/A,4,5,N/A,N/A,1,1,N/A,N/A,N/A,N/A
535,5,5,3,2,5,3,5,5,N/A,N/A,4,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
536,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,3,N/A,N/A,N/A
539,N/A,4,5,2,3,N/A,4,3,N/A,4,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A
541,5,4,5,4,5,4,5,5,5,5,5,4,4,4,5,5,4,4,4,4
543,5,5,5,3,4,4,3,5,3,3,5,5,5,5,5,5,3,3,3,3
544,N/A,5,5,N/A,5,5,3,5,N/A,N/A,N/A,N/A,N/A,5,4,5,N/A,N/A,N/A,N/A
545,3,5,N/A,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
547,N/A,N/A,4,3,5,N/A,5,5,N/A,N/A,3,5,N/A,5,3,5,N/A,N/A,N/A,N/A
551,4,5,N/A,N/A,5,N/A,N/A,5,N/A,N/A,5,N/A,N/A,4,4,5,N/A,N/A,N/A,N/A
552,N/A,N/A,4,N/A,5,N/A,4,5,N/A,N/A,5,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
555,5,N/A,4,4,5,N/A,3,3,N/A,N/A,3,N/A,N/A,N/A,5,2,4,3,3,3
556,N/A,N/A,4,N/A,5,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
557,4,5,5,4,5,N/A,4,4,4,N/A,3,5,N/A,4,4,N/A,N/A,N/A,N/A,N/A
560,1,1,3,2,4,3,3,2,3,4,4,3,5,5,5,5,5,N/A,2,3
564,4,4,5,N/A,5,N/A,5,5,N/A,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
565,5,5,5,3,4,3,5,3,3,4,5,5,4,3,2,4,4,2,2,2
567,3,5,4,N/A,5,N/A,3,4,N/A,N/A,5,3,N/A,5,3,N/A,N/A,N/A,N/A,N/A
566,N/A,N/A,N/A,N/A,4,N/A,4,5,N/A,N/A,N/A,N/A,3,4,2,4,5,5,5,5
574,N/A,3,4,4,4,N/A,N/A,N/A,N/A,N/A,4,5,4,4,N/A,1,N/A,N/A,N/A,N/A
575,5,5,5,N/A,2,3,2,5,5,5,2,5,N/A,N/A,3,5,N/A,N/A,N/A,N/A
576,5,5,5,N/A,2,3,2,5,N/A,N/A,2,4,N/A,N/A,3,5,N/A,N/A,N/A,N/A
577,N/A,N/A,5,N/A,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
580,N/A,N/A,N/A,4,4,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,1,N/A,4,5,N/A,N/A
581,N/A,N/A,N/A,N/A,5,4,5,5,N/A,N/A,3,N/A,N/A,N/A,2,4,N/A,N/A,N/A,N/A
582,5,3,5,4,5,N/A,N/A,5,N/A,5,3,4,3,3,5,5,5,4,3,3
583,4,3,5,N/A,4,N/A,3,2,5,N/A,N/A,5,N/A,3,N/A,4,N/A,N/A,3,N/A
584,4,4,2,4,5,4,5,5,N/A,4,3,4,2,N/A,1,N/A,1,N/A,N/A,N/A
585,N/A,N/A,3,N/A,4,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,5,5,5,5,3,N/A,N/A
586,3,5,4,N/A,4,N/A,5,5,4,5,5,N/A,4,N/A,5,N/A,5,5,N/A,4
587,N/A,N/A,4,N/A,4,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
588,3,2,3,4,4,N/A,4,3,N/A,3,4,N/A,4,4,5,4,4,N/A,3,3
594,4,5,5,N/A,N/A,N/A,3,5,5,N/A,3,5,N/A,5,1,N/A,N/A,N/A,N/A,N/A
601,3,5,5,N/A,4,N/A,4,4,5,N/A,N/A,5,N/A,4,1,N/A,N/A,N/A,N/A,N/A
603,N/A,N/A,4,N/A,5,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
604,3,5,5,N/A,4,N/A,5,3,N/A,3,N/A,5,4,N/A,4,5,N/A,N/A,N/A,N/A
609,N/A,N/A,5,N/A,4,N/A,3,5,N/A,N/A,4,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A
610,5,4,5,2,4,5,5,4,N/A,N/A,5,N/A,N/A,5,5,4,N/A,N/A,N/A,2
611,N/A,N/A,5,N/A,4,N/A,5,5,N/A,N/A,5,N/A,N/A,5,3,5,N/A,N/A,N/A,N/A
612,3,N/A,5,5,5,N/A,4,5,N/A,N/A,5,N/A,2,N/A,4,5,4,4,4,N/A
613,N/A,N/A,5,5,5,5,5,5,N/A,5,4,4,5,5,3,4,5,5,5,5
615,4,5,4,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,3,4,2,3,N/A,N/A,3,4
618,3,N/A,4,N/A,5,N/A,4,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5
619,3,N/A,4,N/A,N/A,3,3,4,N/A,N/A,3,N/A,3,N/A,1,4,N/A,N/A,N/A,N/A
623,N/A,N/A,4,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
624,N/A,5,5,N/A,N/A,N/A,2,4,N/A,N/A,3,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
625,4,5,5,N/A,5,N/A,4,4,5,N/A,3,5,N/A,5,3,5,N/A,N/A,N/A,N/A
627,N/A,N/A,5,N/A,4,N/A,2,5,N/A,N/A,3,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A
638,N/A,N/A,2,N/A,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,4,N/A,2,N/A,N/A,N/A,N/A
640,5,N/A,5,5,5,N/A,N/A,5,N/A,N/A,N/A,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A
642,4,3,4,3,4,2,3,4,3,N/A,4,2,2,3,5,4,4,3,3,4
649,N/A,5,3,N/A,4,N/A,3,4,N/A,N/A,N/A,4,1,N/A,1,N/A,N/A,N/A,N/A,N/A
655,4,4,4,N/A,4,N/A,5,5,N/A,N/A,3,N/A,N/A,N/A,5,3,4,N/A,N/A,N/A
658,N/A,5,3,N/A,N/A,N/A,4,4,4,N/A,4,5,N/A,5,1,N/A,N/A,N/A,N/A,N/A
660,N/A,N/A,4,4,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
663,N/A,N/A,5,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A
665,2,N/A,2,4,3,N/A,4,4,N/A,N/A,4,N/A,4,5,3,2,N/A,N/A,N/A,N/A
669,3,3,4,4,5,N/A,4,N/A,N/A,4,3,N/A,N/A,5,4,3,4,N/A,N/A,N/A
674,N/A,N/A,N/A,5,5,N/A,5,N/A,N/A,4,N/A,4,5,5,3,4,N/A,N/A,N/A,N/A
676,N/A,5,4,N/A,3,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
680,N/A,4,4,N/A,N/A,N/A,4,4,N/A,N/A,4,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
694,4,5,5,3,4,N/A,4,2,N/A,N/A,4,3,4,N/A,4,N/A,2,2,2,2
695,4,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
696,N/A,N/A,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
702,5,N/A,5,N/A,3,4,4,4,N/A,N/A,3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
706,5,N/A,N/A,N/A,3,N/A,5,1,5,N/A,3,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
709,N/A,2,5,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,4,4,5,4,N/A
711,4,4,3,2,3,3,4,5,2,4,4,3,3,3,5,3,3,3,2,3
712,N/A,5,4,N/A,3,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
713,3,5,5,N/A,4,4,4,4,N/A,N/A,2,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
719,N/A,N/A,5,4,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A
725,N/A,5,5,N/A,4,N/A,5,5,N/A,N/A,4,5,4,N/A,2,N/A,N/A,N/A,N/A,N/A
726,N/A,N/A,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A
727,4,3,5,5,3,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
729,N/A,N/A,3,N/A,4,N/A,5,4,N/A,N/A,2,N/A,N/A,N/A,4,1,N/A,N/A,N/A,N/A
731,5,N/A,5,N/A,5,4,3,5,N/A,N/A,4,5,N/A,5,3,5,5,N/A,N/A,N/A
730,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
732,N/A,5,N/A,N/A,4,4,4,5,N/A,N/A,N/A,5,4,5,3,5,N/A,N/A,N/A,N/A
733,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
737,1,N/A,2,N/A,1,N/A,2,1,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
745,5,5,5,N/A,N/A,N/A,4,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
746,N/A,5,5,4,5,5,5,5,N/A,N/A,2,5,4,N/A,2,2,N/A,N/A,N/A,N/A
748,5,N/A,5,N/A,5,4,4,5,N/A,N/A,3,5,5,N/A,3,3,N/A,N/A,N/A,N/A
749,3,5,4,1,1,5,2,4,3,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
751,4,4,4,2,5,N/A,2,3,N/A,N/A,N/A,3,N/A,2,1,1,N/A,N/A,N/A,N/A
753,N/A,3,5,5,5,N/A,4,5,N/A,N/A,5,4,N/A,N/A,4,4,N/A,N/A,N/A,N/A
754,4,N/A,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
755,4,4,5,4,4,N/A,4,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
760,4,N/A,4,3,4,4,5,5,N/A,3,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
766,5,5,4,3,3,3,4,5,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
767,N/A,5,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A
768,3,4,4,3,4,4,3,4,4,3,4,4,3,3,4,5,4,3,3,3
771,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,4,N/A,N/A,N/A,N/A
772,N/A,4,5,N/A,4,5,4,4,N/A,N/A,4,N/A,5,4,3,4,N/A,N/A,N/A,N/A
779,N/A,5,4,N/A,3,N/A,5,3,N/A,N/A,4,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
781,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A
782,5,3,4,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
783,5,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
784,N/A,3,5,5,5,N/A,2,5,N/A,N/A,4,4,N/A,2,3,4,N/A,N/A,N/A,N/A
785,4,2,5,1,N/A,N/A,N/A,4,N/A,3,1,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
786,4,2,5,1,N/A,N/A,N/A,4,N/A,3,1,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
787,3,N/A,3,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,4,N/A,N/A,N/A
788,3,4,N/A,4,N/A,4,N/A,N/A,4,4,5,4,4,5,N/A,N/A,N/A,N/A,N/A,4
789,N/A,4,N/A,N/A,4,N/A,5,4,N/A,N/A,4,3,N/A,N/A,4,5,N/A,3,N/A,N/A
790,4,N/A,5,N/A,5,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
791,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
792,3,N/A,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
797,4,4,4,N/A,3,N/A,5,5,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
800,3,2,4,1,1,1,5,4,N/A,N/A,3,5,N/A,N/A,3,2,N/A,N/A,N/A,N/A
803,N/A,5,5,N/A,5,N/A,2,N/A,N/A,N/A,N/A,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
806,4,5,4,N/A,5,N/A,4,5,N/A,N/A,5,5,N/A,3,1,1,N/A,N/A,N/A,N/A
811,N/A,N/A,4,N/A,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A
812,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
813,5,N/A,5,4,3,N/A,N/A,5,N/A,N/A,5,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
815,N/A,3,3,N/A,4,N/A,N/A,4,N/A,3,4,4,3,3,4,4,3,4,N/A,N/A
818,N/A,5,5,N/A,4,N/A,4,3,N/A,N/A,5,5,N/A,N/A,3,4,N/A,N/A,N/A,N/A
817,N/A,N/A,N/A,N/A,4,N/A,4,5,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A
819,4,5,5,4,5,3,5,5,4,3,3,3,4,5,5,5,4,4,5,5
823,4,1,4,5,2,5,3,4,3,4,3,3,4,4,5,4,4,3,3,2
824,3,1,5,4,5,3,5,2,2,2,3,3,5,5,5,4,4,5,5,5
825,N/A,1,4,4,4,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2
826,4,4,5,3,4,N/A,N/A,4,N/A,N/A,5,5,N/A,5,3,4,N/A,N/A,N/A,N/A
831,N/A,3,5,N/A,5,N/A,4,3,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
835,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
836,4,N/A,5,1,1,N/A,N/A,4,N/A,N/A,5,N/A,5,N/A,3,4,N/A,N/A,N/A,N/A
837,3,3,3,N/A,4,N/A,1,N/A,4,3,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
838,N/A,N/A,3,N/A,4,N/A,5,5,4,3,4,3,N/A,4,2,5,3,N/A,N/A,N/A
841,5,5,4,N/A,3,N/A,4,5,N/A,N/A,4,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A
844,3,4,4,N/A,5,N/A,3,3,N/A,N/A,3,4,N/A,5,1,N/A,N/A,N/A,N/A,N/A
843,5,5,3,N/A,5,N/A,5,3,N/A,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
845,3,4,5,N/A,4,N/A,N/A,3,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
847,3,5,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
850,N/A,N/A,5,N/A,5,N/A,5,4,N/A,N/A,4,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A
851,4,5,5,N/A,5,N/A,5,5,N/A,N/A,5,N/A,N/A,2,2,2,2,2,2,2
854,4,3,4,N/A,3,N/A,4,4,N/A,N/A,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
856,N/A,4,5,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
858,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
859,4,4,4,4,5,N/A,4,5,N/A,N/A,5,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
863,N/A,N/A,3,N/A,3,N/A,5,4,N/A,N/A,3,3,N/A,3,4,5,N/A,N/A,N/A,N/A
865,N/A,N/A,4,4,4,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
866,5,N/A,4,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
868,5,1,5,1,5,1,1,5,1,1,5,1,1,1,4,4,1,1,1,1
875,5,N/A,4,N/A,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,3,5,4,4,4,4
877,5,3,5,3,4,5,3,4,3,4,5,4,4,5,4,5,N/A,N/A,N/A,N/A
882,1,1,2,3,4,2,2,4,3,3,3,2,2,5,5,3,3,4,2,5
880,3,4,4,3,4,3,5,5,3,3,3,3,3,3,3,1,3,1,3,3
881,5,4,4,N/A,4,N/A,3,5,3,4,4,3,3,4,3,5,4,4,N/A,3
886,N/A,N/A,5,N/A,5,N/A,3,4,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
887,4,4,5,3,3,3,5,4,3,3,3,3,3,3,1,3,3,3,3,3
