ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
74,4,N/A,5,4,5,5,4,5,N/A,3,N/A,3,N/A,3,2,3,N/A,N/A,N/A,N/A
75,4,4,4,3,2,N/A,5,5,3,4,4,4,N/A,5,5,4,5,N/A,3,4
76,4,N/A,N/A,5,5,4,4,5,N/A,4,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,2,1,4,1,5,N/A,4,5,N/A,N/A,5,5,4,5,1,3,5,N/A,N/A,N/A
78,3,5,4,2,4,3,5,4,N/A,N/A,4,5,N/A,4,2,5,N/A,3,N/A,N/A
79,3,1,5,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
85,4,5,5,3,5,3,5,5,3,4,5,5,5,5,5,5,N/A,N/A,N/A,N/A
86,3,4,3,2,3,3,2,4,3,2,2,3,5,5,4,5,5,4,4,3
87,4,5,5,2,2,2,3,3,N/A,N/A,2,5,2,N/A,2,4,2,3,N/A,4
89,5,5,5,3,3,3,4,4,3,3,3,5,3,4,2,3,3,3,4,4
90,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91,4,4,N/A,N/A,4,N/A,4,4,4,N/A,N/A,5,N/A,3,N/A,5,N/A,N/A,N/A,N/A
94,5,5,5,N/A,5,N/A,5,5,N/A,N/A,5,N/A,N/A,5,5,N/A,5,N/A,N/A,N/A
102,4,5,5,N/A,3,N/A,5,5,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A
107,N/A,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,N/A,N/A,5,5,5,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
111,4,4,4,N/A,N/A,N/A,N/A,N/A,N/A,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A
112,3,5,5,N/A,3,N/A,5,3,5,N/A,3,5,N/A,4,1,4,N/A,N/A,N/A,N/A
116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A
117,N/A,4,5,N/A,2,N/A,4,3,5,N/A,2,5,N/A,1,1,1,N/A,N/A,N/A,N/A
120,2,2,4,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,3,5,N/A,5,4,2,4
122,N/A,N/A,5,5,5,5,5,5,N/A,5,5,5,5,4,5,4,3,5,3,2
123,N/A,5,4,N/A,5,N/A,4,5,N/A,4,3,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
124,5,5,4,4,5,4,5,5,N/A,N/A,5,N/A,5,5,5,5,N/A,5,1,1
125,N/A,5,5,N/A,N/A,N/A,3,N/A,N/A,N/A,2,N/A,N/A,5,5,5,N/A,2,2,5
126,N/A,5,5,N/A,4,N/A,4,N/A,5,5,4,5,N/A,4,3,5,N/A,N/A,N/A,N/A
127,3,N/A,4,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
128,N/A,4,5,N/A,4,5,5,4,N/A,N/A,3,5,4,N/A,1,5,N/A,N/A,N/A,N/A
121,3,4,4,N/A,3,N/A,5,3,4,N/A,3,5,N/A,N/A,3,5,N/A,N/A,N/A,N/A
129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
130,N/A,N/A,5,5,5,N/A,5,4,N/A,N/A,N/A,5,4,N/A,5,4,N/A,N/A,3,4
131,4,3,4,4,4,4,5,4,5,3,4,3,5,N/A,5,3,4,3,4,5
132,4,4,N/A,5,4,N/A,4,5,N/A,N/A,4,5,N/A,N/A,3,N/A,N/A,N/A,4,3
133,4,5,5,N/A,5,N/A,N/A,4,N/A,N/A,5,5,5,5,4,5,N/A,N/A,N/A,N/A
137,5,N/A,3,N/A,5,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
144,5,5,5,5,N/A,N/A,5,4,3,3,N/A,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
146,N/A,3,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
147,N/A,4,5,N/A,4,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A
148,5,5,5,N/A,5,N/A,5,5,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
149,3,4,5,N/A,3,3,3,4,N/A,N/A,4,5,3,4,1,N/A,N/A,N/A,N/A,N/A
150,5,N/A,5,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A,5,3,3,N/A,N/A,N/A,N/A
152,N/A,N/A,4,N/A,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
156,N/A,N/A,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
157,1,5,5,1,3,N/A,5,5,N/A,N/A,N/A,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A
158,4,N/A,4,N/A,5,N/A,N/A,3,N/A,3,3,N/A,3,3,4,3,N/A,N/A,N/A,N/A
162,N/A,N/A,4,N/A,3,N/A,5,3,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
163,N/A,5,5,N/A,2,N/A,3,4,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
166,N/A,N/A,4,N/A,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
170,4,4,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171,5,5,5,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
173,N/A,N/A,4,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A
174,N/A,N/A,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A
176,3,5,4,N/A,4,N/A,5,5,N/A,N/A,3,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
177,N/A,N/A,5,N/A,5,N/A,5,4,5,4,5,4,4,1,5,3,5,4,2,N/A
178,3,5,5,N/A,4,5,5,3,N/A,N/A,3,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A
